Ruangan
7601;07.00;14.00;1,3
7601;09.00;11.00;2,4,5
7602;07.00;14.00;1,3
7602;07.00;08.00;2
7602;16.00;18.00;4
7603;09.00;12.00;1
7603;09.00;12.00;2
7603;15.00;16.00;2
7603;10.00;12.00;3
7603;08.00;12.00;4,5
7604;07.00;09.00;1,3
7604;10.00;12.00;1,2,5
7604;08.00;10.00;4
7604;14.00;15.00;1,3,5
7604;13.00;15.00;2,4
7604;16.00;18.00;1,2,3
7604;17.00;18.00;4,5
7604;07.00;08.00;5
7605;07.00;09.00;1,3
7605;10.00;12.00;1,2,5
7605;08.00;10.00;4
7605;14.00;15.00;1,3,5
7605;13.00;15.00;2,4
7605;15.00;18.00;1,2,3
7605;17.00;18.00;4,5
7605;07.00;08.00;2,5
7606;09.00;12.00;1,3,5
7606;09.00;11.00;2,4
7606;07.00;09.00;5
7606;16.00;17.00;1,3,5
7607;07.00;12.00;2,3
7607;07.00;11.00;1,4,5
7608;07.00;14.00;1,3,5
7609;09.00;12.00;5
7609;13.00;16.00;2
7610;07.00;09.00;1,3,5
7610;08.00;10.00;2,4
7610;11.00;12.00;1,2,5
7610;11.00;13.00;3,4
7610;15.00;18.00;1,3,4,5
7610;14.00;16.00;2
9101;07.00;14.00;1,3,5
9102;09.00;12.00;1,2,3,4,5
9103;07.00;14.00;1,2,4,5
9104;07.00;08.00;1,3,5
9105;09.00;12.00;2,3,4,5
Labdas1;10.00;14.00;2,4
Labdas1;10.00;12.00;1,3
Labdas1;08.00;09.00;5
Labdas2;10.00;14.00;2,4
Labdas2;15.00;18.00;1,2,5
Labdas3;10.00;11.00;1,4
Labdas3;10.00;14.00;3,5
Labdas3;08.00;09.00;2,4
Labdas3;12.00;13.00;1,2,4
Labdas3;14.00;16.00;1,2,3,5
Labdas3;17.00;18.00;3,4,5
Labdas4;10.00;14.00;2,4
Labdas5;10.00;14.00;1,2,4
Labdas5;15.00;18.00;3,4

Jadwal
IF1111;7602;07.00;12.00;2;1,3,5
IF1111;7602;09.00;12.00;3;2,4
IF1112;7602;10.00;18.00;3;3,4
IF1112;7602;10.00;16.00;2;1
IF1112;7602;10.00;16.00;1;2,5
IF1113;7602;09.00;13.00;2;1,3,5
IF1113;7602;09.00;13.00;2;2
IF1114;7602;07.00;15.00;4;4,5
IF1114;7602;07.00;12.00;2;1,3
IF1115;7602;07.00;09.00;2;1,3
IF1115;7602;07.00;15.00;2;4,5
IF1116;7602;07.00;09.00;2;1,3
IF1116;7602;07.00;15.00;2;4,5
IF1117;7602;07.00;12.00;1;1,3
IF1117;7602;13.00;15.00;1;2,4,5
IF1118;7602;07.00;15.00;3;1,2,3
IF1118;7602;10.00;15.00;2;4,5
IF1119;7602;07.00;09.00;1;1,3
IF1119;7602;07.00;15.00;1;2
IF1120;7602;09.00;13.00;2;1,3,5
IF1120;7602;07.00;15.00;2;2,4
IF2111;7601;07.00;12.00;2;1,3,5
IF2111;7601;09.00;12.00;3;2,4
IF2112;7601;10.00;18.00;3;3,4
IF2112;7601;10.00;16.00;2;1,5
IF2112;7601;10.00;16.00;1;2,5
IF2113;7601;09.00;13.00;2;1,3,5
IF2113;7601;09.00;13.00;2;2
IF2114;7601;07.00;15.00;4;4,5
IF2114;7601;07.00;12.00;2;1,3
IF2115;7601;07.00;09.00;2;1,3
IF2115;7601;07.00;15.00;2;4,5
IF2116;7601;07.00;09.00;2;1,3
IF2116;7601;07.00;15.00;2;4,5
IF2117;7601;07.00;12.00;1;1,3
IF2117;7601;13.00;15.00;1;2,4,5
IF2118;7601;07.00;15.00;3;1,2,3
IF2118;7601;10.00;15.00;2;4,5
IF2119;7601;07.00;09.00;1;1,3
IF2119;7601;07.00;15.00;1;2
IF2120;7601;09.00;13.00;2;1,3,5
IF2120;7601;07.00;15.00;2;2,4
IF4511;-;07.00;12.00;2;1,3,5
IF4511;-;09.00;12.00;3;2,4
